mn,pinion,g2,width,SH
20,14,70,300,1.839684074
15,13,52,225,1.268517933
5,14,70,65,0.293477735
1,15,120,20,0.037446204
15,12,96,150,1.154952536
1,14,56,15,0.026771737
20,13,91,200,1.603325646
15,12,60,180,1.163143557
15,13,91,180,1.244598887
15,11,66,180,1.103436086
20,14,70,260,1.761360476
5,15,120,85,0.385059671
20,11,55,200,1.36327797
20,13,52,120,1.297924834
10,14,98,170,0.941521332
1,15,120,13,0.030187992
5,12,48,100,0.299258679
20,11,88,200,1.426095062
5,12,60,30,0.17059484
20,15,105,220,1.845110267
10,15,105,120,0.866859082
10,14,70,110,0.744120156
15,15,60,180,1.305789438
15,13,91,225,1.314805742
20,11,55,400,1.687190037
1,13,91,15,0.027445557
10,11,44,110,0.569824754
1,14,98,11,0.025337833
1,15,75,11,0.025639067
5,14,56,65,0.282316172
1,15,60,6,0.018150989
20,13,65,240,1.66167272
1,11,77,6,0.014657312
10,12,96,170,0.830358052
1,13,52,12,0.022219325
20,14,112,260,1.832622982
10,12,48,110,0.619753438
5,11,55,85,0.263155275
5,12,60,65,0.251171646
10,14,56,200,0.930662147
20,11,88,120,1.230290187
20,12,72,300,1.684667416
10,11,88,170,0.765203539
5,11,88,55,0.227264155
20,14,112,220,1.777715656
1,13,52,20,0.028686803
10,12,96,120,0.714293076
15,11,88,90,0.847679529
5,12,96,30,0.183248793
15,14,56,225,1.320573073
15,11,77,90,0.833135621
1,11,77,17,0.02467371
15,12,48,180,1.12447006
1,11,88,12,0.02117212
15,15,60,150,1.259153039
10,13,91,120,0.757733045
15,12,84,300,1.346887973
1,12,60,15,0.023896181
1,12,72,15,0.02466752
5,11,55,65,0.230125523
20,12,84,220,1.55952316
5,14,84,50,0.26508242
15,11,88,150,1.066038197
5,14,112,60,0.303124603
1,12,60,10,0.019510455
15,13,65,225,1.298775243
10,14,56,170,0.867790656
5,13,65,65,0.272297153
10,14,98,110,0.781952169
5,15,120,75,0.363432217
10,12,48,130,0.669927207
10,14,112,110,0.794559293
5,11,66,30,0.160850486
5,12,60,55,0.231046411
5,14,112,65,0.315499791
10,13,91,100,0.696589578
15,15,75,180,1.304579355
20,12,96,340,1.78399268
5,15,105,50,0.291108473
5,11,66,75,0.254412094
20,11,66,300,1.581965431
10,11,44,170,0.693175147
5,14,56,50,0.247612334
15,15,120,180,1.366908227
1,15,75,13,0.02787314
10,14,70,60,0.562160452
15,13,52,90,0.902654837
20,14,98,300,1.885623719
15,11,55,165,1.036677329
15,14,98,150,1.253111477
10,14,84,150,0.879939704
20,13,78,400,1.921462486
15,13,65,255,1.320644081
20,15,105,200,1.787810938
20,15,120,400,2.144344768
5,13,65,60,0.261616145
20,12,84,400,1.844211998
1,12,84,20,0.029218859
15,13,104,165,1.234654136
1,11,66,11,0.019347618
15,14,112,180,1.292324604
15,13,52,300,1.343527648
5,12,84,75,0.284281254
15,14,56,195,1.279200517
1,14,84,20,0.033298007
1,13,78,10,0.021835462
15,12,60,150,1.087828683
1,15,90,11,0.026483997
15,13,65,165,1.204770042
20,11,77,400,1.747374637
15,13,78,195,1.248839022
10,14,112,120,0.826533289
1,11,44,11,0.017990847
1,13,104,12,0.025073343
15,11,77,225,1.192927494
1,13,52,6,0.015710706
5,15,105,60,0.318887694
1,15,60,11,0.024577709
1,15,120,6,0.020507274
1,12,48,10,0.018714791
20,11,66,260,1.506711436
10,15,75,120,0.827026345
1,14,56,10,0.021858096
20,15,75,120,1.456962037
1,12,60,20,0.027593917
15,12,72,225,1.233626243
1,12,96,20,0.029848178
1,13,104,10,0.022888348
20,11,55,240,1.461172744
10,12,48,150,0.71558728
20,13,52,400,1.836950362
10,15,75,200,1.022992788
20,11,77,300,1.607808035
1,12,48,6,0.014496012
15,12,60,165,1.121677038
